Source IP,Destination IP,Length
24.64.208.134,216.58.112.55,
24.64.208.134,216.58.112.55,
24.64.208.134,216.58.112.55,
207.68.178.56,216.58.112.55,
123.112.87.126,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
72.197.8.56,216.58.112.55,
71.228.199.109,216.58.112.55,
99.248.20.48,216.58.112.55,
75.117.31.43,216.58.112.55,
58.160.93.74,216.58.112.55,
85.54.146.31,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
58.147.54.65,216.58.112.55,
24.64.234.162,216.58.112.55,
24.64.234.162,216.58.112.55,
24.64.234.162,216.58.112.55,
142.162.239.193,216.58.112.55,
190.40.97.52,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
207.24.89.66,216.58.112.55,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
69.115.209.62,216.58.112.55,
71.228.199.109,216.58.112.55,
63.227.65.151,216.58.112.55,
76.87.248.152,216.58.112.55,
201.26.136.92,216.58.112.55,
70.189.221.153,216.58.112.55,
59.100.237.219,216.58.112.55,
24.64.136.199,216.58.112.55,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.113,207.68.178.56,
151.9.246.29,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
216.51.106.52,216.58.112.55,
66.214.36.72,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
207.68.178.56,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
216.51.106.52,216.58.112.55,
192.168.17.11,10.97.14.25,
209.131.38.249,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
122.162.36.15,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
216.211.188.107,216.58.112.55,
216.211.188.107,216.58.112.55,
24.174.141.170,216.58.112.55,
99.251.241.22,216.58.112.55,
75.27.233.174,216.58.112.55,
91.139.26.208,216.58.112.55,
72.129.201.114,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
79.186.174.12,216.58.112.55,
71.170.80.136,216.58.112.55,
106.108.177.47,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
66.11.164.174,216.58.112.55,
24.64.216.116,216.58.112.55,
24.64.216.116,216.58.112.55,
24.64.216.116,216.58.112.55,
196.206.134.152,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
121.14.136.101,216.58.112.55,
71.228.199.109,216.58.112.55,
69.139.205.220,216.58.112.55,
66.24.36.155,216.58.112.55,
210.213.141.86,216.58.112.55,
66.24.36.155,216.58.112.55,
205.250.109.214,216.58.112.55,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
162.86.171.88,216.58.112.55,
24.64.125.106,216.58.112.55,
219.139.115.162,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
200.8.71.247,216.58.112.55,
24.64.232.7,216.58.112.55,
24.64.232.7,216.58.112.55,
24.64.232.7,216.58.112.55,
59.95.27.206,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.240.226,216.58.112.55,
24.64.240.226,216.58.112.55,
24.64.240.226,216.58.112.55,
60.87.149.61,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.31.188,216.58.112.55,
24.64.31.188,216.58.112.55,
24.64.31.188,216.58.112.55,
163.140.169.38,216.58.112.55,
209.226.175.184,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
113.22.125.157,216.58.112.55,
222.162.78.66,216.58.112.55,
80.254.112.200,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.11,10.97.14.25,
122.164.76.172,216.58.112.55,
83.239.155.146,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
72.129.201.114,216.58.112.55,
68.43.45.155,216.58.112.55,
68.46.224.58,216.58.112.55,
71.194.107.51,216.58.112.55,
67.8.58.212,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
63.167.69.69,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.149.194.222,216.58.112.55,
77.234.15.211,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
72.230.93.214,216.58.112.55,
67.173.3.23,216.58.112.55,
75.171.122.220,216.58.112.55,
68.81.84.44,216.58.112.55,
67.173.3.23,216.58.112.55,
75.132.195.128,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
24.64.35.180,216.58.112.55,
24.64.35.180,216.58.112.55,
24.64.35.180,216.58.112.55,
122.162.219.240,216.58.112.55,
192.168.17.113,207.68.178.56,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.103.146,216.58.112.55,
24.64.103.146,216.58.112.55,
24.64.103.146,216.58.112.55,
137.1.220.101,216.58.112.55,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
207.68.178.56,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
200.35.177.17,216.58.112.55,
200.119.135.100,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
129.134.110.94,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
89.175.152.185,216.58.112.55,
122.167.238.130,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
68.206.75.25,216.58.112.55,
75.171.122.220,216.58.112.55,
72.129.201.114,216.58.112.55,
24.166.109.127,216.58.112.55,
76.250.142.171,216.58.112.55,
121.135.240.208,216.58.112.55,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
78.148.104.253,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
71.104.50.6,216.58.112.55,
194.90.6.44,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
194.90.6.44,216.58.112.55,
60.21.103.252,216.58.112.55,
194.90.6.44,216.58.112.55,
194.90.6.44,216.58.112.55,
69.115.209.62,216.58.112.55,
99.251.241.22,216.58.112.55,
72.129.201.114,216.58.112.55,
72.129.201.114,216.58.112.55,
69.115.209.62,216.58.112.55,
194.90.6.44,216.58.112.55,
194.90.6.44,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
194.90.6.44,216.58.112.55,
221.208.208.90,216.58.112.55,
221.208.208.90,216.58.112.55,
221.208.208.90,216.58.112.55,
109.140.157.77,216.58.112.55,
194.90.6.44,216.58.112.55,
194.90.6.44,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
82.35.230.228,216.58.112.55,
82.35.230.228,216.58.112.55,
82.35.230.228,216.58.112.55,
82.35.230.228,216.58.112.55,
77.91.200.130,216.58.112.55,
194.90.6.44,216.58.112.55,
65.26.47.241,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
124.121.192.16,216.58.112.55,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
78.148.58.129,216.58.112.55,
201.231.47.57,216.58.112.55,
24.64.65.201,216.58.112.55,
24.64.65.201,216.58.112.55,
24.64.65.201,216.58.112.55,
190.189.106.45,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
71.194.107.51,216.58.112.55,
74.12.248.246,216.58.112.55,
98.207.166.40,216.58.112.55,
70.189.221.153,216.58.112.55,
68.206.75.25,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
86.101.52.114,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
5.126.53.110,216.58.112.55,
211.200.56.60,216.58.112.55,
211.200.56.60,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
52.52.117.156,216.58.112.55,
83.8.141.56,216.58.112.55,
24.67.56.239,216.58.112.55,
24.166.109.127,216.58.112.55,
72.229.247.131,216.58.112.55,
24.67.56.239,216.58.112.55,
75.138.144.249,216.58.112.55,
75.138.144.249,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
192.168.17.113,207.68.178.56,
218.249.243.30,216.58.112.55,
192.168.17.113,207.68.178.56,
85.75.51.53,216.58.112.55,
69.31.42.66,216.58.112.55,
221.217.183.227,216.58.112.55,
168.18.80.183,216.58.112.55,
85.137.113.62,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
218.9.66.130,216.58.112.55,
24.64.139.148,216.58.112.55,
24.64.139.148,216.58.112.55,
24.64.139.148,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
65.120.86.12,216.58.112.55,
207.68.178.56,216.58.112.55,
71.127.188.123,216.58.112.55,
66.11.164.174,216.58.112.55,
66.11.164.174,216.58.112.55,
66.11.164.174,216.58.112.55,
205.134.188.171,216.58.112.55,
193.47.121.71,216.58.112.55,
66.11.164.174,216.58.112.55,
69.31.42.66,216.58.112.55,
66.11.164.174,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
205.134.188.171,216.58.112.55,
216.60.166.102,216.58.112.55,
216.60.166.102,216.58.112.55,
205.134.188.171,216.58.112.55,
196.174.202.235,216.58.112.55,
126.203.126.10,216.58.112.55,
205.134.188.171,216.58.112.55,
205.134.188.171,216.58.112.55,
192.168.17.11,10.97.14.21,
192.168.17.11,10.97.14.21,
205.134.188.171,216.58.112.55,
192.168.17.11,10.97.14.21,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
71.126.248.71,216.58.112.55,
24.64.112.81,216.58.112.55,
24.64.112.81,216.58.112.55,
24.64.112.81,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
82.216.11.148,216.58.112.55,
99.237.83.20,216.58.112.55,
67.174.105.41,216.58.112.55,
98.207.166.40,216.58.112.55,
71.228.199.109,216.58.112.55,
70.189.221.153,216.58.112.55,
92.46.11.100,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
86.110.25.142,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
165.70.127.155,216.58.112.55,
67.15.135.138,216.58.112.55,
67.15.135.138,216.58.112.55,
67.15.135.138,216.58.112.55,
67.15.135.138,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
60.48.66.248,216.58.112.55,
67.174.105.41,216.58.112.55,
208.76.80.86,216.58.112.55,
74.161.10.148,216.58.112.55,
122.24.143.91,216.58.112.55,
98.207.166.40,216.58.112.55,
67.174.105.41,216.58.112.55,
192.168.17.11,10.97.14.25,
75.117.31.43,216.58.112.55,
69.31.42.66,216.58.112.55,
86.60.106.79,216.58.112.55,
211.108.155.43,216.58.112.55,
211.108.155.43,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
89.151.157.84,216.58.112.55,
72.76.18.116,216.58.112.55,
216.215.20.139,216.58.112.55,
61.132.223.14,216.58.112.55,
89.24.99.57,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
201.64.110.195,216.58.112.55,
92.112.63.8,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
74.161.10.148,216.58.112.55,
84.204.158.238,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
76.26.35.233,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.33.225,216.58.112.55,
24.64.33.225,216.58.112.55,
24.64.33.225,216.58.112.55,
56.227.152.148,216.58.112.55,
68.81.84.44,216.58.112.55,
62.101.126.230,216.58.112.55,
62.101.126.230,216.58.112.55,
192.168.17.11,10.97.14.25,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.45.56,216.58.112.55,
24.64.45.56,216.58.112.55,
24.64.45.56,216.58.112.55,
74.133.109.145,216.58.112.55,
24.166.109.127,216.58.112.55,
62.10.181.66,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.145.44,216.58.112.55,
24.64.145.44,216.58.112.55,
24.64.145.44,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
213.150.83.114,216.58.112.55,
24.64.155.188,216.58.112.55,
24.64.155.188,216.58.112.55,
24.64.155.188,216.58.112.55,
86.133.109.140,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.64.117.205,216.58.112.55,
24.64.117.205,216.58.112.55,
24.64.117.205,216.58.112.55,
60.161.216.224,216.58.112.55,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
192.168.17.24,192.168.9.51,
192.168.17.24,192.168.10.60,
24.165.92.109,216.58.112.55,
79.64.233.230,216.58.112.55,
24.165.92.109,216.58.112.55,
79.64.233.230,216.58.112.55,
203.173.191.14,216.58.112.55,
203.173.191.14,216.58.112.55,
